Dye_Name,Concentration,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700
Suncron Blue RD-E_I,1.0,44.704746,47.053497,47.473,46.486,44.768497,42.83075,40.46925,38.345001,36.099503,33.261002,29.86075,26.457251,23.300247,20.088499,17.186001,15.10825,13.539001,11.84625,10.2395,9.319,9.27125,9.27,9.044251,8.5765,8.66425,10.07125,14.419749,20.650002,34.841,43.046001,55.262493
Suncron Blue RD-E_I,2.0,36.438999,38.25425,38.464748,37.276752,35.379253,33.400253,31.03875,28.977247,26.849751,24.202002,21.117249,18.091249,15.382251,12.75925,10.481,8.91225,7.78125,6.627,5.58375,5.0815,5.01575,5.016499,4.88275,4.69325,4.70975,5.58325,8.488501,12.916251,24.9035,32.929752,44.678001
Suncron Blue RD-E_I,4.0,28.678501,29.88225,29.907,28.672749,26.758999,24.813002,22.595001,20.6835,18.754002,16.41625,13.80575,11.3355,9.2515,7.36575,5.83175,4.884749,4.21575,3.59,3.10175,2.896,2.83475,2.841,2.79,2.73225,2.78675,3.15175,4.67775,7.16075,16.045,23.3955,33.999748
Suncron Blue RD-E_I,6.0,24.300749,25.191,25.1465,23.883251,22.042999,20.188,18.1045,16.33275,14.576,12.509499,10.2675,8.21525,6.57125,5.1615,4.090999,3.46575,3.048,2.6465,2.3905,2.28,2.2585,2.268,2.24875,2.2265,2.2745,2.6005,3.35375,4.82425,11.495499,18.161501,27.747749
Suncron Blue S-2G_I,0.01,68.606621,71.282669,73.798851,76.248604,78.035179,79.441055,80.360725,80.912758,81.231613,81.212463,80.892014,80.047295,78.609238,76.695076,74.606026,72.387367,70.111015,67.980492,66.128036,64.617195,63.440346,62.736614,62.626205,62.700039,63.553185,65.083427,67.372551,70.242691,73.926201,76.273361,79.781586
Suncron Blue S-2G_I,0.025,64.479912,66.573341,68.998116,71.743355,73.742821,75.233582,75.968628,76.309052,76.372406,75.816956,74.817207,73.17067,70.777084,67.852905,64.833923,61.795708,58.804955,56.194546,53.971695,52.230072,50.914192,50.118191,49.982471,50.10239,51.088619,52.772522,55.354847,58.722378,63.374962,66.429886,71.206528
Suncron Blue S-2G_I,0.05,59.251751,60.765968,63.144119,66.19973,68.61647,70.277344,70.85041,70.985397,70.574554,69.463806,67.798012,65.364975,62.184715,58.523537,54.91563,51.414169,48.147903,45.360756,43.066494,41.286221,39.953972,39.160244,38.997971,39.143848,40.122856,41.766857,44.357937,47.839249,52.821953,56.353825,61.917625
Suncron Blue S-2G_I,0.1,51.471771,52.403725,54.712963,58.04512,60.912407,62.797134,63.227028,63.15329,62.242901,60.63559,58.444107,55.469078,51.79948,47.76973,43.890778,40.258789,37.006794,34.284245,32.092678,30.398333,29.145157,28.380548,28.205484,28.348543,29.24456,30.73653,33.121185,36.415951,41.350956,45.016228,50.873016
Suncron Blue S-2G_I,0.25,40.09164,40.378475,42.445648,45.805187,48.903137,50.901077,51.186707,50.937729,49.706028,47.794785,45.329983,42.104656,38.372379,34.373222,30.64278,27.219852,24.271261,21.818916,19.880823,18.425571,17.37225,16.735373,16.580851,16.732876,17.443066,18.687466,20.727343,23.612904,28.194036,31.752214,37.415989
Suncron Blue S-2G_I,0.5,31.481705,31.358473,33.231953,36.345718,39.413944,41.34251,41.583176,41.293846,40.009514,38.072079,35.666611,32.54668,29.031813,25.310186,21.91016,18.83873,16.271255,14.193659,12.588154,11.425659,10.615513,10.124674,10.010778,10.13362,10.706776,11.619596,13.236046,15.583521,19.560123,22.869848,28.111166
Suncron Blue S-2G_I,1.0,22.932268,22.868055,24.333324,27.153236,30.028702,31.839108,32.048271,31.762646,30.52091,28.685555,26.412907,23.537312,20.337656,17.070925,14.165619,11.660595,9.658377,8.118239,6.988132,6.227536,5.736621,5.442527,5.372479,5.479714,5.856951,6.391107,7.452017,9.080932,12.092192,14.889376,19.425503
Suncron Blue S-2G_I,2.0,15.857695,15.470007,16.765146,19.137548,21.721209,23.364706,23.558512,23.278322,22.110991,20.434114,18.377968,15.821446,13.115728,10.485354,8.298948,6.539363,5.241834,4.321072,3.681396,3.33948,3.124697,2.97367,2.957322,3.013672,3.190621,3.497713,3.990619,4.867655,6.73205,8.78282,12.250821
Suncron Blue S-2G_I,4.0,9.880893,9.394433,10.33701,12.131952,14.252226,15.658912,15.834513,15.592088,14.582591,13.165891,11.470208,9.458762,7.466443,5.713943,4.403421,3.465367,2.869358,2.46403,2.237265,2.11442,2.065214,2.029231,2.042885,2.071157,2.133695,2.236103,2.40397,2.690525,3.532286,4.722645,6.860298
Suncron Blue S-2G_I,6.0,7.527182,6.977828,7.668259,9.142978,10.912767,12.163989,12.330118,12.113518,11.214896,9.970786,8.512575,6.855238,5.30123,4.019289,3.162961,2.606055,2.291316,2.047095,1.932853,1.89394,1.886552,1.880288,1.901939,1.926884,1.962681,2.01195,2.094269,2.197595,2.714033,3.450203,4.916989
Suncron Blue S-BG_I,0.01,70.021749,73.680997,76.436752,78.525507,79.816747,80.709004,81.186748,81.366748,81.377757,80.86099,79.68275,78.017747,76.117498,73.629743,70.794249,68.900001,67.0035,64.613748,61.938,60.155499,59.625751,59.671998,59.310246,57.868248,57.720995,59.505999,64.941496,72.194749,83.563501,85.778999,89.68125
Suncron Blue S-BG_I,0.025,66.668999,70.425498,73.176003,75.182253,76.187497,76.591498,76.671249,76.267248,75.721759,74.426007,72.22299,69.643998,66.758257,63.185251,59.474003,56.986505,54.653752,51.87875,48.871249,46.941501,46.425748,46.487504,46.081501,44.58825,44.312,46.447745,52.55,61.059999,76.284003,80.45975,87.150252
Suncron Blue S-BG_I,0.05,62.432498,66.129994,68.957746,70.902747,71.610504,71.778506,71.372759,70.578003,69.523001,67.679,64.77325,61.535501,58.108002,54.061496,50.046998,47.33125,44.914001,42.111999,39.118248,37.222499,36.759749,36.815497,36.405247,34.971002,34.709498,36.789748,42.903,51.555997,68.665242,74.487996,83.390999
Suncron Blue S-BG_I,0.1,56.608999,60.265005,63.259757,65.165001,65.619749,65.404248,64.509249,63.317996,61.884499,59.595251,56.174004,52.504998,48.798749,44.593501,40.514249,37.715998,35.398999,32.723001,29.855752,28.027999,27.618501,27.6775,27.269751,25.901499,25.66275,27.454999,33.254996,41.532499,59.207499,66.796005,77.907503
Suncron Blue S-BG_I,0.25,44.776252,48.196751,51.336747,53.126252,53.148997,52.667499,51.276499,49.713001,47.990501,45.428753,41.707247,37.85775,34.215,30.231252,26.46825,23.855001,21.860999,19.574499,17.181501,15.696751,15.4865,15.43975,15.06975,14.0265,14.043,15.176751,19.90675,26.898751,43.41625,52.710253,66.251254
Suncron Blue S-BG_I,0.5,36.375001,39.449251,42.522499,44.168496,44.025001,43.37275,41.813746,40.181497,38.437,35.857502,32.289001,28.615999,25.235,21.66675,18.370251,16.113499,14.456749,12.61075,10.7195,9.62275,9.496,9.4605,9.174,8.430751,8.47525,9.34425,13.073,18.720751,33.587751,43.10075,57.0755
Suncron Blue S-BG_I,1.0,28.106248,30.659002,33.553249,35.029751,34.874251,34.010249,32.427251,30.822998,29.158998,26.708502,23.401751,20.105,17.171001,14.19325,11.56825,9.835,8.6185,7.305,6.056501,5.45275,5.33725,5.3145,5.10725,4.74975,4.7715,5.3565,7.87925,11.827751,24.233502,33.563748,47.231501
Suncron Blue S-BG_I,2.0,19.786751,21.918751,24.513251,25.6825,25.541502,24.710998,23.208,21.74,20.247,18.099001,15.327251,12.64175,10.382751,8.24475,6.47,5.4105,4.6815,3.9525,3.30725,3.0775,2.9915,2.99275,2.89425,2.77725,2.774,3.061,4.418,6.552251,15.317249,23.88075,36.373249
Suncron Blue S-BG_I,4.0,13.051251,14.474,16.614251,17.532,17.3575,16.60625,15.306251,14.08325,12.85425,11.1635,9.096,7.22025,5.757,4.4885,3.54,3.0475,2.70575,2.38175,2.17425,2.07475,2.0595,2.06725,2.04825,2.0205,2.03825,2.17075,2.67175,3.46225,8.363751,15.292251,25.634748
Suncron Blue S-BG_I,6.0,10.256501,11.412499,13.340749,14.12825,13.930251,13.21575,12.044,10.941,9.85425,8.43,6.73725,5.273,4.19675,3.3295,2.71,2.43725,2.2215,2.026,1.91175,1.87675,1.8795,1.891,1.89275,1.88675,1.91,2.0115,2.26375,2.56625,5.76975,11.63525,20.79225
Suncron Blue S-FBL 300%_I,0.01,70.262505,73.783752,76.177254,78.099998,79.394241,80.208755,80.56675,80.360504,79.684494,78.466751,76.981995,75.126747,73.090492,70.722,68.234756,66.2015,63.577999,60.619251,58.117748,56.591,55.530499,54.156502,52.775753,52.534504,55.118252,61.05225,69.129997,76.638496,84.602753,85.872742,88.105247
Suncron Blue S-FBL 300%_I,0.025,67.717003,70.938751,72.931252,74.568001,75.526497,75.795753,75.543991,74.497002,72.664001,70.40625,67.833,65.055756,62.133251,58.982002,55.881001,53.325249,50.307751,47.046501,44.395752,42.805248,41.728504,40.359249,38.984753,38.78125,41.389999,47.617496,56.87225,66.484001,78.045998,81.112,85.575005
Suncron Blue S-FBL 300%_I,0.05,63.761753,66.658501,68.348251,69.705002,70.400749,70.422501,69.473251,67.778,65.083755,62.114502,58.982754,55.74575,52.496498,49.121498,45.91275,43.209499,40.202747,37.032501,34.484249,32.954002,31.953749,30.656248,29.37125,29.194498,31.67675,37.701752,47.023998,57.058994,70.901505,75.236748,81.514252
Suncron Blue S-FBL 300%_I,0.1,57.484501,60.019749,61.45475,62.652004,63.14925,62.87775,61.48275,59.26075,55.914246,52.421249,48.926746,45.43425,42.054501,38.665249,35.522751,32.784748,29.895498,26.915003,24.529247,23.103249,22.203749,21.021749,19.894999,19.7505,21.986252,27.505499,36.396252,46.265751,61.1665,66.991493,75.222496
Suncron Blue S-FBL 300%_I,0.25,46.734501,48.467503,49.692501,50.787746,51.171005,50.692749,48.731998,46.00975,42.187752,38.417751,34.833,31.366999,28.160748,25.067751,22.217751,19.719,17.269999,14.83025,12.944749,11.871751,11.229,10.37825,9.613249,9.878001,11.06275,15.2445,22.753248,31.595999,46.31675,53.636997,64.045753
Suncron Blue S-FBL 300%_I,0.5,38.295498,39.57225,40.639999,41.55225,41.687752,41.200752,39.101501,36.339249,32.62225,28.987249,25.646751,22.432501,19.551001,16.872499,14.45625,12.39225,10.457,8.632751,7.294,6.6395,6.184501,5.663,5.2245,5.2135,6.124,9.022,14.89975,22.437498,36.337997,43.8405,54.814499
Suncron Blue S-FBL 300%_I,1.0,29.456751,30.282747,31.214249,31.967999,32.005501,31.463999,29.425001,26.8125,23.384251,20.115749,17.197001,14.47075,12.13175,10.07375,8.296,6.883751,5.61675,4.5295,3.8015,3.51225,3.251,3.04825,2.88325,2.92875,3.26975,4.78,8.53025,13.976,26.195749,33.508747,44.214752
Suncron Blue S-FBL 300%_I,2.0,21.379,21.9655,22.740499,23.35375,23.366253,22.84075,20.961,18.619749,15.636501,12.888999,10.527249,8.46575,6.81425,5.48875,4.42475,3.665,3.04625,2.57725,2.3225,2.19575,2.12375,2.07725,2.049,2.08075,2.224,2.81425,4.54125,7.6085,17.028751,24.0205,34.054501
Suncron Blue S-FBL 300%_I,4.0,13.639501,14.039999,14.61475,15.044999,15.04575,14.614999,13.117,11.288,9.059,7.1445,5.614,4.38325,3.50875,2.896,2.4825,2.211,2.02425,1.87325,1.8085,1.8025,1.806,1.813,1.83225,1.85825,1.91775,2.08525,2.6055,3.538,8.945499,14.658,23.09775
Suncron Blue S-FBL 300%_I,6.0,10.27,10.55775,11.0125,11.36225,11.35575,10.991,9.728751,8.23975,6.4685,5.03525,3.94125,3.1225,2.6005,2.268,2.073,1.9525,1.854,1.78525,1.76275,1.78125,1.802,1.82425,1.85975,1.89625,1.94475,2.03125,2.32225,2.48775,5.77925,10.448501,17.65225
Suncron Blue S-FWN_I,0.01,71.278936,74.549317,76.632917,78.297877,79.383379,80.163145,80.85525,81.183797,81.280428,81.062144,80.632991,79.928887,78.955078,77.771223,76.577342,75.379288,73.992682,72.603697,71.434003,70.709902,70.165634,69.708753,69.588041,69.727969,71.126157,73.174649,75.198001,76.352799,76.999021,77.378011,78.504133
Suncron Blue S-FWN_I,0.025,69.420981,72.619224,74.652648,76.259685,77.148992,77.757001,78.090787,77.946681,77.289617,76.145464,74.672866,72.802848,70.730317,68.549383,66.396761,64.381623,62.169993,60.165906,58.507037,57.501137,56.800723,56.179667,55.908859,56.283319,57.920396,60.528886,63.228345,64.906275,65.595496,65.96235,67.796576
Suncron Blue S-FWN_I,0.05,67.157209,70.26515,72.262174,73.764849,74.573058,74.939656,75.055677,74.483645,73.177749,71.3341,69.15049,66.574478,63.862598,61.162138,58.635473,56.295574,53.854775,51.613629,49.858055,48.777312,47.992787,47.274727,46.941823,47.323096,49.00195,51.601571,54.315841,56.057084,56.687987,57.155776,59.200341
Suncron Blue S-FWN_I,0.1,62.609106,65.089726,66.947675,68.277431,68.747622,68.926054,68.372607,67.187774,64.930916,62.180716,59.134805,55.85829,52.627999,49.495497,46.673554,44.107732,41.611445,39.341486,37.619144,36.585513,35.895425,35.258618,34.96936,35.45348,37.41523,40.273514,43.348479,45.446378,46.437961,47.049767,49.268901
Suncron Blue S-FWN_I,0.25,54.402053,56.57686,58.153713,59.225595,59.37407,59.248996,58.12974,56.317186,53.309083,49.952471,46.462095,42.815506,39.561036,36.3653,33.546078,31.042004,28.672284,26.547661,24.979328,24.028748,23.437348,22.874789,22.734018,23.081699,24.903704,27.563745,30.450159,32.439935,33.495757,34.178662,36.385977
Suncron Blue S-FWN_I,0.5,46.729529,48.574507,50.081325,50.913537,51.019168,50.581527,49.185693,47.107923,43.884349,40.398437,36.908236,33.332729,30.152756,27.152517,24.528031,22.192103,20.065194,18.184762,16.778767,15.97209,15.475449,15.010628,14.881963,15.181655,16.72571,19.027065,21.549335,23.334308,24.369167,25.068772,27.149838
Suncron Blue S-FWN_I,1.0,38.313508,39.857024,41.246077,41.830748,41.859862,41.306591,39.727563,37.569609,34.355628,30.934158,27.605379,24.270634,21.350574,18.660182,16.372681,14.384052,12.626591,11.124273,10.041781,9.45225,9.095696,8.74466,8.647819,8.873905,10.005259,11.766444,13.759464,15.190431,16.149989,16.778617,18.580541
Suncron Blue S-FWN_I,2.0,29.998273,30.850941,32.092345,32.565299,32.626784,32.055369,30.523956,28.44789,25.425655,22.283225,19.279891,16.333383,13.854133,11.685772,9.920058,8.43316,7.187133,6.170163,5.477657,5.147029,4.919193,4.71951,4.684235,4.831219,5.482299,6.565191,7.916807,8.902512,9.679904,10.179425,11.576687
Suncron Blue S-FWN_I,4.0,22.241329,22.787511,23.849754,24.256283,24.315849,23.754697,22.347006,20.464247,17.749438,15.00926,12.493001,10.132156,8.27707,6.7257,5.561702,4.640635,3.941233,3.408285,3.098529,2.901025,2.813211,2.737366,2.739491,2.832724,3.148703,3.60415,4.298087,4.848853,5.384858,5.734083,6.659251
Suncron Blue S-FWN_I,6.0,17.620406,18.302795,19.311869,19.604024,19.623768,19.074592,17.753519,15.99043,13.544142,11.138102,9.008694,7.103416,5.656031,4.558816,3.772806,3.194662,2.810117,2.47756,2.294701,2.197915,2.152084,2.116552,2.13049,2.187885,2.363051,2.644567,2.992159,3.267606,3.693333,4.049747,4.61807
Suncron Blue S-TG_I,0.01,70.640419,74.102493,76.701775,78.755249,80.094101,80.67791,80.82695,80.617783,80.191719,79.304672,78.323128,77.080414,75.574776,73.913048,72.055923,70.13279,68.028389,66.187271,64.567131,63.314854,62.395489,62.016636,62.084084,62.677509,64.0961,66.309097,69.292313,72.605942,76.524284,78.494118,81.109581
Suncron Blue S-TG_I,0.025,66.811348,69.784409,72.646004,75.175842,76.791336,77.265152,76.924934,76.017204,74.622246,72.82444,70.883629,68.661469,66.3461,63.896858,61.333263,58.776623,56.179672,53.993404,52.119492,50.712479,49.71254,49.293282,49.35421,50.015461,51.60849,54.054661,57.481945,61.582355,66.837219,69.748413,74.173988
Suncron Blue S-TG_I,0.05,61.017883,63.870525,67.096375,70.259293,72.234917,72.611595,71.871124,70.36795,68.082184,65.506088,62.857735,59.997665,57.164242,54.291779,51.415546,48.601498,45.880299,43.596085,41.710781,40.291889,39.267361,38.824162,38.861019,39.543457,41.186764,43.647221,47.192646,51.535519,57.318039,60.819881,66.300911
Suncron Blue S-TG_I,0.1,54.338951,56.849991,60.294151,63.889648,66.192001,66.592728,65.195702,63.094921,60.173367,57.114059,54.119438,50.994469,48.028965,45.066921,42.142349,39.311089,36.670773,34.457188,32.644737,31.29413,30.348942,29.91568,29.949274,30.642654,32.232605,34.616722,38.080536,42.4221,48.333199,52.114182,58.125721
Suncron Blue S-TG_I,0.25,40.380497,42.420189,46.118641,50.318806,53.419136,53.973652,52.208008,49.592297,46.077679,42.622288,39.353516,35.949829,32.863693,29.877323,27.028364,24.338602,21.945482,19.927414,18.341375,17.158237,16.311068,15.872546,15.913166,16.346792,17.67153,19.726114,22.844563,26.869455,32.673393,36.538292,42.7267
Suncron Blue S-TG_I,0.5,31.401011,33.107517,36.705864,40.850277,44.05122,44.57946,42.696857,39.990982,36.451641,33.07246,29.919472,26.712488,23.852453,21.121435,18.561369,16.203999,14.173239,12.508976,11.217767,10.293588,9.663584,9.35244,9.345224,9.654463,10.64208,12.219173,14.723621,18.132315,23.374037,27.086905,32.999783
Suncron Blue S-TG_I,1.0,22.83305,24.329741,27.620354,31.492163,34.61235,35.132614,33.260231,30.630058,27.25037,24.088259,21.201057,18.31319,15.820104,13.520402,11.454012,9.612963,8.112929,6.941144,6.076448,5.507833,5.180509,4.94614,4.956263,5.161015,5.724298,6.702293,8.404567,10.889325,15.082723,18.40659,23.752655
Suncron Blue S-TG_I,2.0,15.244822,16.344908,19.148781,22.538025,25.428808,25.93977,24.244843,21.839008,18.812643,16.060577,13.626146,11.265502,9.34924,7.685554,6.292171,5.139656,4.249821,3.612608,3.200135,2.944288,2.796772,2.695423,2.712259,2.814686,3.088951,3.489272,4.369002,5.784507,8.524963,11.099189,15.37614
Suncron Blue S-TG_I,4.0,9.267218,10.050191,12.128973,14.833479,17.30755,17.781382,16.518078,14.512222,12.024035,9.851626,8.009007,6.349239,5.1064,4.12052,3.390242,2.845288,2.508619,2.229035,2.078534,2.010378,1.988039,1.962047,1.981144,2.015323,2.098766,2.241962,2.540685,3.033644,4.357169,5.940645,8.763996
Suncron Blue S-TG_I,6.0,6.698616,7.200027,8.845229,11.067146,13.215816,13.693455,12.652203,10.944141,8.835903,7.063964,5.610926,4.400451,3.533706,2.911565,2.488473,2.213668,2.025606,1.886395,1.815615,1.803066,1.808154,1.801227,1.821614,1.843382,1.876645,1.941613,2.071026,2.305549,2.976264,4.04206,6.003536
Suncron Blue SE-2BL_I,0.01,69.09008,72.165924,74.684669,76.737808,77.922966,78.458855,78.433617,77.983452,77.292213,76.168861,74.890968,73.304199,71.610962,69.753296,67.799225,65.974197,64.199974,62.61208,61.148418,60.13081,59.722687,59.804981,60.126377,60.888374,62.306011,64.417931,67.221199,70.43132,74.364647,76.449348,79.424751
Suncron Blue SE-2BL_I,0.025,64.958549,67.767105,70.621582,73.230423,74.769562,75.238022,74.760284,73.655998,72.040085,70.062874,67.905357,65.43248,62.887287,60.315273,57.762508,55.310703,52.924717,50.909878,49.223499,48.028194,47.299473,47.190811,47.373158,48.101616,49.614773,51.885052,55.027039,58.830791,63.900166,66.946251,71.60009
Suncron Blue SE-2BL_I,0.05,59.122574,61.608654,64.770149,67.967445,69.981628,70.438072,69.353447,67.588058,65.108803,62.397709,59.631168,56.623604,53.713573,50.849598,48.065823,45.403503,42.923828,40.846279,39.166702,37.951672,37.197762,37.026989,37.151333,37.890533,39.397976,41.62537,44.790234,48.732628,54.142548,57.66106,63.225662
Suncron Blue SE-2BL_I,0.1,51.995964,54.005306,57.275928,60.853008,63.201183,63.573055,61.977638,59.699272,56.628353,53.488956,50.4259,47.181313,44.176487,41.236084,38.436741,35.805023,33.40823,31.401857,29.814056,28.671587,27.953985,27.798748,27.905521,28.621727,30.066547,32.216957,35.268932,39.146381,44.642899,48.373055,54.325092
Suncron Blue SE-2BL_I,0.25,37.999519,39.574615,43.051105,47.183331,50.278801,50.7855,48.731529,45.883373,42.233761,38.763039,35.563568,32.253632,29.327044,26.516676,23.881357,21.425171,19.294722,17.529173,16.161591,15.198743,14.604737,14.423925,14.476427,15.054488,16.208397,17.96225,20.557016,23.965496,29.076056,32.806564,38.777317
Suncron Blue SE-2BL_I,0.5,28.953669,30.325874,33.622715,37.612087,40.773632,41.24897,39.15152,36.276245,32.681511,29.372442,26.345879,23.271593,20.627533,18.129658,15.833423,13.759924,12.00932,10.603962,9.556124,8.849869,8.447914,8.281329,8.353209,8.733931,9.568962,10.881583,12.903056,15.689741,20.154539,23.631104,29.21773
Suncron Blue SE-2BL_I,1.0,20.693962,21.859245,24.799528,28.489346,31.534266,31.998821,29.982157,27.251846,23.889439,20.852003,18.143982,15.477495,13.232821,11.22241,9.456447,7.931501,6.702848,5.773677,5.103951,4.723126,4.493726,4.373869,4.438816,4.67277,5.126736,5.940645,7.263404,9.186196,12.582767,15.559828,20.441051
Suncron Blue SE-2BL_I,2.0,13.406445,14.252335,16.666304,19.825888,22.579683,23.065994,21.276251,18.84178,15.915939,13.353816,11.148424,9.100955,7.474905,6.120748,5.022349,4.14746,3.502562,3.05733,2.773494,2.591356,2.508968,2.467207,2.506441,2.598143,2.809118,3.149077,3.758073,4.766497,6.787364,8.928064,12.609972
Suncron Blue SE-2BL_I,4.0,7.951364,8.4249,10.189237,12.577938,14.878169,15.325609,14.051192,12.077649,9.764221,7.85002,6.289046,4.950022,4.00581,3.28735,2.78709,2.455756,2.217948,2.033383,1.944803,1.919923,1.916405,1.907165,1.92935,1.960534,2.024943,2.133639,2.297052,2.601112,3.48236,4.647208,6.846669
Suncron Blue SE-2BL_I,6.0,5.530482,5.861785,7.091094,8.92121,10.803205,11.260583,10.287413,8.703919,6.886047,5.423159,4.289747,3.393888,2.803619,2.426811,2.171645,2.025649,1.897919,1.810231,1.770395,1.776851,1.792264,1.795156,1.815444,1.83281,1.863555,1.911369,1.97871,2.088687,2.523156,3.166418,4.536258
Suncron Blue SE-2R_I,0.01,70.922816,74.348676,76.442122,78.007621,78.948057,79.49124,79.855609,79.83129,79.685134,78.941989,77.989405,76.595187,75.004625,73.121405,71.257472,69.502103,67.462265,65.244699,63.311148,62.233102,61.790246,61.353123,60.816914,60.95283,63.325083,68.11223,74.439734,80.071449,85.364097,85.825181,86.488652
Suncron Blue SE-2R_I,0.025,69.557601,72.831607,74.785835,76.119214,76.791131,76.997149,76.889265,76.318938,75.156301,73.384213,71.296656,68.763751,66.140318,63.339907,60.6879,58.273,55.742335,53.099602,50.848442,49.633718,49.14737,48.685643,48.100898,48.300344,50.924146,56.379056,64.504796,73.087305,82.04537,83.671331,85.650462
Suncron Blue SE-2R_I,0.05,66.697127,69.721693,71.451849,72.596544,72.880453,73.006892,72.394866,71.295983,69.351816,66.775304,63.901216,60.703021,57.597649,54.401213,51.462752,48.838645,46.207663,43.510726,41.258773,40.050206,39.602575,39.132673,38.591108,38.819557,41.462505,47.012359,55.669749,65.677661,77.547067,80.48948,84.02881
Suncron Blue SE-2R_I,0.1,61.948144,64.678746,66.119784,66.938889,67.007428,66.560721,65.306783,63.565999,60.760814,57.462567,54.048246,50.431454,47.112629,43.815276,40.822101,38.189721,35.647619,33.082703,30.949658,29.822099,29.405642,28.973311,28.537446,28.842723,31.240493,36.614132,45.268506,55.980885,70.074117,74.904478,80.807322
Suncron Blue SE-2R_I,0.25,51.813424,53.936166,54.895318,55.350149,55.113769,54.216969,52.443308,50.190461,46.771803,43.070248,39.429504,35.715589,32.456356,29.274979,26.419553,23.949277,21.671408,19.400674,17.575292,16.63686,16.325243,15.917927,15.65434,15.763101,17.881632,22.547463,30.54089,41.078758,56.173497,63.238412,72.599357
Suncron Blue SE-2R_I,0.5,42.94315,44.696164,45.36998,45.66862,45.258376,44.273517,42.338273,39.961579,36.479264,32.826215,29.338583,25.835955,22.84243,19.994377,17.486741,15.358359,13.491154,11.678985,10.275538,9.578243,9.359836,9.064637,8.911242,9.055668,10.557174,14.22472,21.083689,30.816585,45.564219,53.431016,64.352345
Suncron Blue SE-2R_I,1.0,34.46379,35.952446,36.471772,36.608449,36.183566,35.07103,33.11567,30.775273,27.435771,24.012752,20.819199,17.698136,15.118583,12.755252,10.755891,9.125901,7.760201,6.518765,5.610261,5.260892,5.07032,4.902219,4.828992,4.935784,5.854557,8.356738,13.664582,22.069469,35.818329,43.806061,55.257142
Suncron Blue SE-2R_I,2.0,26.099706,27.342203,27.789575,27.821195,27.352309,26.210091,24.312097,22.101545,19.045153,16.04895,13.351232,10.834345,8.877511,7.219935,5.916712,4.90899,4.108254,3.463415,3.072513,2.904422,2.829689,2.758584,2.742502,2.831663,3.208434,4.512487,7.845236,14.133132,25.884157,33.70913,44.942275
Suncron Blue SE-2R_I,4.0,19.253685,20.248786,20.620242,20.603257,20.177391,19.125229,17.390782,15.425849,12.836659,10.402103,8.306269,6.474097,5.163093,4.147501,3.427907,2.931158,2.585066,2.289762,2.136801,2.084628,2.073765,2.05352,2.064059,2.106139,2.273273,2.796488,4.531554,8.623028,17.647335,24.967648,35.464582
Suncron Blue SE-2R_I,6.0,17.110009,18.006603,18.354478,18.313004,17.956276,16.984901,15.410309,13.605566,11.237545,9.033071,7.152765,5.552708,4.414981,3.558881,2.984671,2.597731,2.305032,2.088857,1.974668,1.942055,1.935798,1.920361,1.931748,1.968053,2.120491,2.509812,3.89821,7.42087,15.583909,22.662361,32.891959
Suncron Blue SE-3RT_I,0.01,69.402306,72.883667,75.399849,77.286697,78.250229,78.617271,78.779465,78.509201,78.083191,77.192604,76.130592,74.760574,73.161827,71.434982,69.698944,68.054306,66.414673,65.145561,64.210838,63.726189,63.753521,64.141853,65.18689,66.812386,69.137451,72.101967,75.372246,78.487434,82.158051,83.366966,84.859825
Suncron Blue SE-3RT_I,0.025,65.617981,68.97258,71.956596,74.150246,74.988899,75.021988,74.179703,72.942886,71.31469,69.275345,67.061218,64.613739,62.109238,59.545982,57.10965,54.887589,52.845459,51.328407,50.229355,49.642647,49.673496,50.10178,51.299145,53.235554,56.058918,59.768276,64.28492,69.142998,75.009064,77.591728,81.033989
Suncron Blue SE-3RT_I,0.05,58.89896,62.190788,65.562286,68.205368,69.156494,68.738472,67.161469,65.248665,62.761436,59.99094,57.163345,54.183792,51.304703,48.423534,45.741501,43.358376,41.279179,39.697502,38.598621,38.012669,38.034584,38.441814,39.599308,41.572815,44.504475,48.331272,53.211311,58.759956,66.028938,69.684273,75.033195
Suncron Blue SE-3RT_I,0.1,52.812683,55.877899,59.520889,62.42337,63.29636,62.457455,60.196041,57.712456,54.638828,51.452385,48.359028,45.186577,42.242821,39.334274,36.669495,34.305397,32.29863,30.797445,29.760181,29.199945,29.236361,29.629391,30.72319,32.645279,35.519348,39.266922,44.134983,49.831627,57.527912,61.918842,68.456917
Suncron Blue SE-3RT_I,0.25,41.193592,43.986153,47.790016,50.795383,51.654781,50.369644,47.61697,44.749756,41.400772,38.113213,35.044613,31.956835,29.205751,26.518917,24.067217,21.922464,20.179548,18.860577,17.978846,17.571474,17.555487,17.872782,18.812675,20.511776,23.08865,26.509237,31.073521,36.56234,44.320435,49.120628,56.554283
Suncron Blue SE-3RT_I,0.5,31.731091,34.198532,37.89922,40.817558,41.670464,40.326946,37.51445,34.69326,31.449181,28.343487,25.486834,22.666555,20.198658,17.836746,15.743116,13.950251,12.535869,11.484311,10.78876,10.510004,10.470369,10.81247,11.439514,12.781714,14.885163,17.794533,21.824795,26.879259,34.279507,39.126842,46.670074
